,Unnamed: 0.1,Unnamed: 0,symbol,name,curr_market_price,pe_ratio,book_value,divident,roce,roe,face_value,market_cap,about
980,980,980,NATHBIOGEN,Nath Bio-Genes (India) Ltd,214.0,10.8,321.0,0.93,6.77,6.14,10.0,409.0,"Incorporated in 1993, Nath Bio-Genes Ltd "
981,981,981,NATIONALUM,National Aluminium Company Ltd,184.0,17.5,78.3,2.72,16.6,12.2,5.0,33790.0,"Incorporated in 1981, National Aluminium Company Limited (NALCO) manufactures and sells Alumina and Aluminium"
982,982,982,NATNLSTEEL,National Steel & Agro Industries Ltd,,,,,,,,,"Incorporated in 1985, National Steel and Agro Industries Ltd (NSAIL) is engaged in the manufacturing and export of steel."
983,983,983,NAUKRI,Info Edge (India) Ltd,8106.0,164.0,2339.0,0.27,3.65,2.44,10.0,105168.0,"Info Edge is India’s premier online classified company with a portfolio of brands. It owns various brands in different fields like naukri.com (online recruitment), 99acres.com (online real estate), jeevansathi.com (online matrimonial) as well as shiksha.com (online education information services). It also acts as an investor and has invested in many start-ups in the online space and is actively growing its investment portfolio. "
984,984,984,NAVINFLUOR,Navin Fluorine International Ltd,3305.0,75.1,481.0,0.36,10.4,10.1,2.0,16386.0,"Navin Fluorine International Ltd is primary engaged in producing refrigeration gases, inorganic fluorides, specialty organofluorines and offers contract research and manufacturing services."
985,985,985,NAVKARCORP,Navkar Corporation Limited,,,,,,,,,
986,986,986,NAVNETEDUL,Navneet Education Ltd,152.0,18.6,57.2,1.71,16.2,15.7,2.0,3449.0,"Navneet Education Limited is primarily into manufacturing and trading of education books, reference books, technical & professional books in paper form and e-learning form, and also paper and non-paper based stationery products. "
987,987,987,NBCC,NBCC (India) Ltd,174.0,56.4,12.4,0.36,32.0,24.8,1.0,31329.0,"NBCC (India) Limited is a Government of India Navratna Enterprise under the Ministry of Housing and Urban Affairs. The Co. operates in three major segments - Project Management Consultancy, Engineering Procurement & Construction, and Real Estate. "
988,988,988,NBIFIN,NBI Industrial Finance Company Ltd,2435.0,146.0,,0.02,,,5.0,598.0,NBI Industrial Finance Co. Ltd. is a  Non-Banking Financial Company(NBFC) registered with the Reserve Bank of India.  The Company is engaged mainly in investment in shares in securities & financial activity.  The Company has long-term orientation in its investments and mainly invests in listed equities.  
989,989,989,NBVENTURES,Nava Bharat Ventures Limited,,,,,,,,,
990,990,990,NCC,NCC Ltd,315.0,25.8,106.0,0.7,22.1,11.4,2.0,19787.0,"Incorporated in 1978, NCC Limited undertakes turnkey EPC contracts and BOT projects on Public-Private Partnership basis"
